omm_id,nombre,elev,lat_dec,lon_dec,fecha_desde,fecha_hasta,valor
85153,San Ignacio de Moxos - Aerop,160.0,-14.97,-65.63,2024-03-21,2024-04-20,
85154,Trinidad - Aeropuerto,156.0,-14.82,-64.92,2024-03-21,2024-04-20,
85175,Ascención de Guarayos - Aerop,236.0,-15.92,-63.17,2024-03-21,2024-04-20,
85195,San Javier - Aeropuerto,538.0,-16.27,-62.47,2024-03-21,2024-04-20,
85196,Concepción - Aeropuerto,504.0,-16.14,-62.03,2024-03-21,2024-04-20,
85201,El Alto - Aeropuerto,4034.0,-16.51,-68.2,2024-03-21,2024-04-20,
85207,San Ignacio de Velasco - Aerop,415.0,-16.38,-60.96,2024-03-21,2024-04-20,
85210,San Matias - Aeropuerto,285.0,-16.33,-58.4,2024-03-21,2024-04-20,
85223,Cochabamba - Aeropuerto,2548.0,-17.42,-66.17,2024-03-21,2024-04-20,
85242,Oruro - Aeropuerto,3702.0,-17.95,-67.08,2024-03-21,2024-04-20,
85244,Viru Viru - Aeropuerto,378.0,-17.65,-63.14,2024-03-21,2024-04-20,
85245,El Trompillo - Aeropuerto,413.0,-17.81,-63.18,2024-03-21,2024-04-20,
85247,San Jose de Chiquitos - Aerop,284.0,-17.83,-60.74,2024-03-21,2024-04-20,
85264,Valle Grande - Aeropuerto,2030.0,-18.48,-64.11,2024-03-21,2024-04-20,
85268,Robore - Aeropuerto,277.0,-18.33,-59.76,2024-03-21,2024-04-20,
85283,Sucre - Aeropuerto,2907.0,-19.02,-65.29,2024-03-21,2024-04-20,
85289,Puerto Suarez - Aeropuerto,234.0,-18.98,-57.82,2024-03-21,2024-04-20,
85293,Potosi - Aeropuerto,4100.0,-19.54,-65.72,2024-03-21,2024-04-20,
85312,Monteagudo_El Bañado-Aerop,1117.0,-19.82,-63.96,2024-03-21,2024-04-20,
85315,Camiri - Aeropuerto,810.0,-20.01,-63.53,2024-03-21,2024-04-20,
85345,Villa Montes - Aeropuerto,360.0,-21.25,-63.41,2024-03-21,2024-04-20,
85364,Tarija - Aeropuerto,1875.0,-21.55,-64.71,2024-03-21,2024-04-20,
85365,Yacuiba - Aeropuerto,580.0,-21.97,-63.65,2024-03-21,2024-04-20,
85394,Bermejo - Aeropuerto,385.0,-22.77,-64.31,2024-03-21,2024-04-20,
86086,Puerto Casado,78.0,-22.28,-57.94,2024-03-21,2024-04-20,
86330,Artigas,120.38,-30.4,-56.51,2024-03-21,2024-04-20,181.7
86350,Rivera,241.94,-30.9,-55.54,2024-03-21,2024-04-20,221.5
86360,Salto,41.0,-31.43,-57.98,2024-03-21,2024-04-20,160.4
86430,Paysandú,61.12,-32.35,-58.04,2024-03-21,2024-04-20,232.0
86440,Melo,100.36,-32.37,-54.19,2024-03-21,2024-04-20,84.9
86033,Bahía Negra,82.0,-20.23,-58.17,2024-03-21,2024-04-20,
86065,Base Aérea “Tte. 2º de Mna. Pelayo Prats Gill” ,206.0,-22.56,-61.61,2024-03-21,2024-04-20,
86068,Aeropuerto de Mcal. José Félix Estigarribia,167.0,-22.03,-60.62,2024-03-21,2024-04-20,188.1
86097,Aeródromo de Pedro Juan Caballero,563.0,-22.64,-55.83,2024-03-21,2024-04-20,68.2
86128,Pozo Colorado,98.0,-23.5,-58.79,2024-03-21,2024-04-20,113.5
86134,Aeródromo de Concepción ,75.0,-23.44,-57.43,2024-03-21,2024-04-20,225.70000000000002
86170,Gral. José María Bruguez,89.0,-24.74,-58.84,2024-03-21,2024-04-20,170.5
86185,Aeródromo de San Pedro del Ycuá Mandyju ,81.0,-24.09,-57.09,2024-03-21,2024-04-20,192.9
86192,San Estanislao,183.0,-24.67,-56.45,2024-03-21,2024-04-20,240.8
86210,Aeródromo de Salto del Guairá,297.0,-24.03,-54.35,2024-03-21,2024-04-20,81.2
86218,Aeropuerto “Silvio Pettirossi”,83.0,-25.24,-57.52,2024-03-21,2024-04-20,236.9
86221,Paraguarí,116.0,-25.63,-57.15,2024-03-21,2024-04-20,317.2
86255,Aeródromo de Pilar,58.0,-26.881,-58.318,2024-03-21,2024-04-20,218.5
86234,Coronel Oviedo,159.0,-25.52,-56.41,2024-03-21,2024-04-20,204.9
86260,San Juan Bautista,131.0,-26.67,-57.13,2024-03-21,2024-04-20,505.9
86268,Aeródromo de Caazapá,142.0,-26.17,-56.36,2024-03-21,2024-04-20,247.8
86285,Capitán Meza,263.0,-26.83,-55.33,2024-03-21,2024-04-20,
85406,"Chacalluta, Arica Ap.",63.0,-18.35138889,-70.33583333,2024-03-21,2024-04-20,0.0
86297,Encarnación,90.0,-27.3,-55.9,2024-03-21,2024-04-20,181.9
86233,Villarrica del Espíritu Santo ,163.0,-25.754,-56.438,2024-03-21,2024-04-20,327.9
83980,Bagé,245.66,-31.30555555,-54.11944443,2024-03-21,2024-04-20,134.3
83997,Santa Vitória do Palmar,24.01,-33.53166666,-53.35027777,2024-03-21,2024-04-20,
86460,Paso de los Toros,75.48,-32.8,-56.53,2024-03-21,2024-04-20,
86490,Mercedes,17.01,-33.25,-58.07,2024-03-21,2024-04-20,170.8
86560,Colonia,18.0,-34.45,-57.77,2024-03-21,2024-04-20,86.9
86565,Rocha,18.16,-34.49,-54.31,2024-03-21,2024-04-20,55.9
86580,Aeropuerto Carrasco,32.88,-34.83,-56.01,2024-03-21,2024-04-20,95.0
86450,Young,80.6,-32.69,-57.65,2024-03-21,2024-04-20,227.5
86530,Durazno,92.8,-33.35,-56.5,2024-03-21,2024-04-20,173.2
86545,Florida,90.0,-34.09,-56.24,2024-03-21,2024-04-20,126.6
85921,"Teniente Gallardo, Puerto Natales Ad.",69.0,-51.66722222,-72.52888889,2024-03-21,2024-04-20,
87007,La Quiaca Obs.,3459.0,-22.103337,-65.600762,2024-03-21,2024-04-20,13.7
87121,Tucumán Aero,450.0,-26.837299,-65.108434,2024-03-21,2024-04-20,45.9
87374,Paraná Aero,78.0,-31.790362,-60.484193,2024-03-21,2024-04-20,218.6
87563,Las Flores Aero,38.0,-36.041486,-59.137108,2024-03-21,2024-04-20,112.9
87640,Bolívar Aero,94.0,-36.186382,-61.072651,2024-03-21,2024-04-20,231.4
87934,Río Grande (BA),22.0,-53.78022,-67.758746,2024-03-21,2024-04-20,42.699999999999996
86246,Aeropuerto “Guaraní” Minga Guazú ,247.0,-25.46,-54.84,2024-03-21,2024-04-20,146.1
85418,Diego Aracena Iquique Ap.,52.0,-20.53972222,-70.17861111,2024-03-21,2024-04-20,0.0
85432,"El Loa, Calama Ad.",2293.0,-22.49527778,-69.904444,2024-03-21,2024-04-20,1.8
85439,Toconao,2495.0,-23.18611111,-68.00555556,2024-03-21,2024-04-20,2.5
85442,Cerro Moreno Antofagasta Ap.,113.0,-23.45027778,-70.44111111,2024-03-21,2024-04-20,0.4
85455,Taltal Campbell,37.0,-25.41111111,-70.48416667,2024-03-21,2024-04-20,0.4
85467,"Desierto de Atacama, Caldera Ad.",204.0,-27.26388889,-70.77416667,2024-03-21,2024-04-20,6.6000000000000005
85488,"La Florida, La Serena Ad.",142.0,-29.914444,-71.206666,2024-03-21,2024-04-20,0.6000000000000001
85560,"Rodelillo, Ad.",330.0,-33.03667,-71.53417,2024-03-21,2024-04-20,2.1
85569,El Paico,275.0,-33.70638889,-71.00805556,2024-03-21,2024-04-20,0.0
85571,Lo Prado Cerro San Francisco,1068.0,-33.45805556,-70.94861111,2024-03-21,2024-04-20,
85574,Pudahuel Santiago,482.0,-33.39194444,-70.79444444,2024-03-21,2024-04-20,0.1
85577,"Quinta Normal, Santiago",520.0,-33.444999,-70.682777,2024-03-21,2024-04-20,0.2
85580,"Eulogio Sánchez, Tobalaba Ad.",650.0,-33.45444,-70.547777,2024-03-21,2024-04-20,1.0
85585,"Juan Fernández, Estación Meteorológica.",40.0,-33.63583,-78.83306,2024-03-21,2024-04-20,116.9
85586,"Santo Domingo, Ad.",75.0,-33.656111,-71.613333,2024-03-21,2024-04-20,0.4
85593,San José Guayacán,928.0,-33.61527778,-70.35055556,2024-03-21,2024-04-20,2.0
85629,"General Freire, Curicó Ad.",225.0,-34.96638889,-71.21666667,2024-03-21,2024-04-20,22.6
85672,"Bernardo O'Higgins, Chillán Ad.",151.0,-36.585833,-72.036666,2024-03-21,2024-04-20,7.8
85682,"Carriel Sur, Concepción.",12.0,-36.77916667,-73.06222222,2024-03-21,2024-04-20,10.0
85743,"Maquehue, Temuco Ad.",92.0,-38.767777,-72.631943,2024-03-21,2024-04-20,82.0
85766,"Pichoy, Valdivia Ad.",21.0,-39.65055556,-73.08083333,2024-03-21,2024-04-20,63.6
85782,"Cañal Bajo, Osorno Ad.",61.0,-40.614444,-73.0575,2024-03-21,2024-04-20,54.4
85799,El Tepual Puerto Montt Ap.,85.0,-41.447499,-73.095833,2024-03-21,2024-04-20,72.2
85831,Quellón Ad.,12.0,-43.13388889,-73.63305556,2024-03-21,2024-04-20,90.0
85832,Futaleufú Ad.,347.0,-43.18888889,-71.8525,2024-03-21,2024-04-20,122.2
85862,Puerto Aysén Ad.,10.0,-45.39611111,-72.66388889,2024-03-21,2024-04-20,182.9
85864,"Teniente Vidal, Coyhaique Ad.",310.0,-45.59388889,-72.10861111,2024-03-21,2024-04-20,103.8
85874,Balmaceda Ad.,520.0,-45.9125,-71.69333333,2024-03-21,2024-04-20,32.2
85886,Chile Chico Ad.,306.0,-46.58083333,-71.69277778,2024-03-21,2024-04-20,
85892,Lord Cochrane Ad.,204.0,-47.24388889,-72.58638889,2024-03-21,2024-04-20,
85920,"Teniente Gallardo, Puerto Natales Ad.",69.0,-51.66722222,-72.52888889,2024-03-21,2024-04-20,38.4
85934,"Carlos Ibañez, Punta Arenas Ap.",38.0,-53.00333333,-70.845,2024-03-21,2024-04-20,46.2
85940,"Fuentes Martínez, Porvenir Ad.",25.0,-53.25361,-70.326,2024-03-21,2024-04-20,63.5
85968,"Guardia Marina Zañartu, Pto Williams Ad.",10.0,-54.93166667,-67.61555556,2024-03-21,2024-04-20,46.4
90000001,Las Brujas,32.0,-34.6719444444444,-56.34,2024-03-21,2024-04-20,93.3
90000002,La Estanzuela,72.0,-34.3372222222222,-57.6922222222222,2024-03-21,2024-04-20,128.4
90000003,Tacuarembó,115.0,-31.7088888888889,-55.8266666666667,2024-03-21,2024-04-20,182.6
90000004,Treinta y Tres,22.0,-33.275,-54.1722222222222,2024-03-21,2024-04-20,100.7
90000005,Salto Grande,47.0,-31.2727777777778,-57.8908333333333,2024-03-21,2024-04-20,135.8
82989,AGUA BRANCA,603.42,-9.26472222,-37.93805555,2024-03-21,2024-04-20,
83249,ALAGOINHAS,129.78,-12.1486111,-38.42527777,2024-03-21,2024-04-20,
83007,ALTO DA BOA VISTA,353.81,-22.96583333,-43.27944443,2024-03-21,2024-04-20,273.0
82970,ALTO PARNAIBA,285.05,-9.10833333,-45.9486111,2024-03-21,2024-04-20,
83096,ARACAJU,3.68,-10.9525,-37.05444444,2024-03-21,2024-04-20,
83442,ARACUAI,317.67,-16.8489,-42.060911,2024-03-21,2024-04-20,26.4
82890,ARCOVERDE,683.91,-8.433537,-37.055365,2024-03-21,2024-04-20,96.1
83384,ARINOS,523.0,-15.915229,-46.10712,2024-03-21,2024-04-20,29.799999999999997
83049,AVELAR (P.DO ALFERES),513.25,-22.34749999,-43.41777777,2024-03-21,2024-04-20,
83179,BARRA,407.5,-11.084858,-43.138998,2024-03-21,2024-04-20,
